"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.cart_oil","perc.hash_kief","perc.wax_shatter_dab_resin","perc.uncategorized"
"Pullman",2015-07-03,3153.4797,63,50.0552333333333,0.349206349206349,0,0.619047619047619,0.0317460317460317
"Pullman",2015-07-04,1647.0003,39,42.2307769230769,0.0512820512820513,0,0.846153846153846,0.102564102564103
"Pullman",2015-07-05,878.9098,24,36.6212416666667,0,0,0.833333333333333,0.166666666666667
"Pullman",2015-07-06,1895.9978,44,43.0908590909091,0.318181818181818,0,0.522727272727273,0.159090909090909
"Pullman",2015-07-07,1484.2443,32,46.382634375,0.21875,0,0.65625,0.09375
"Pullman",2015-07-08,3430.7814,69,49.7214695652174,0.405797101449275,0,0.405797101449275,0.173913043478261
"Pullman",2015-07-09,1705.7596,38,44.8884105263158,0.184210526315789,0,0.710526315789474,0.0789473684210526
"Pullman",2015-07-10,2265.8293,45,50.3517622222222,0.333333333333333,0,0.533333333333333,0.133333333333333
"Pullman",2015-07-11,3603.7439,95,37.9341463157895,0.242105263157895,0,0.652631578947368,0.0736842105263158
"Pullman",2015-07-12,1052.1052,35,30.0601485714286,0.0571428571428571,0,0.828571428571429,0.0571428571428571
"Pullman",2015-07-13,2454.9304,60,40.9155066666667,0.283333333333333,0,0.566666666666667,0.05
"Pullman",2015-07-14,2040.5465,48,42.5113854166667,0.270833333333333,0,0.645833333333333,0.0833333333333333
"Pullman",2015-07-15,2178.711,43,50.6676976744186,0.441860465116279,0,0.441860465116279,0.0232558139534884
"Pullman",2015-07-16,2482.7825,58,42.8065948275862,0.310344827586207,0,0.603448275862069,0.0172413793103448
"Pullman",2015-07-17,3218.6917,71,45.333685915493,0.253521126760563,0,0.704225352112676,0.028169014084507
"Pullman",2015-07-18,2832.8586,73,38.8062821917808,0.191780821917808,0,0.671232876712329,0.0684931506849315
"Pullman",2015-07-19,950.9581,31,30.6760677419355,0,0,0.903225806451613,0.0967741935483871
"Pullman",2015-07-20,1986.8425,42,47.3057738095238,0.333333333333333,0,0.5,0.142857142857143
"Pullman",2015-07-21,2548.6247,52,49.0120134615385,0.384615384615385,0,0.557692307692308,0
"Pullman",2015-07-22,1802.2898,39,46.212558974359,0.230769230769231,0,0.615384615384615,0
"Pullman",2015-07-23,2426.8454,59,41.1329728813559,0.101694915254237,0,0.898305084745763,0
"Pullman",2015-07-24,2306.6553,46,50.1446804347826,0.369565217391304,0,0.630434782608696,0
"Pullman",2015-07-25,5141.5552,97,53.0057237113402,0.216494845360825,0,0.752577319587629,0
"Pullman",2015-07-26,1326.5299,37,35.8521594594595,0.027027027027027,0,0.972972972972973,0
"Pullman",2015-07-27,2165.696,45,48.1265777777778,0.244444444444444,0,0.755555555555556,0
"Pullman",2015-07-28,3736.1681,61,61.2486573770492,0.245901639344262,0,0.688524590163934,0.0163934426229508
"Pullman",2015-07-29,2162.0107,43,50.2793186046512,0.116279069767442,0,0.86046511627907,0.0232558139534884
"Pullman",2015-07-30,2499.6335,56,44.6363125,0.0892857142857143,0,0.892857142857143,0
"Pullman",2015-07-31,2820.7889,55,51.2870709090909,0.309090909090909,0,0.690909090909091,0
"Pullman",2015-08-01,3008.6844,65,46.2874523076923,0.2,0,0.707692307692308,0.0615384615384615
"Pullman",2015-08-02,1643.5342,39,42.1419025641026,0.0256410256410256,0,0.692307692307692,0.282051282051282
"Pullman",2015-08-03,1320.8307,31,42.6074419354839,0.258064516129032,0,0.645161290322581,0.0645161290322581
"Pullman",2015-08-04,1882.7773,41,45.9213975609756,0.195121951219512,0,0.707317073170732,0.0975609756097561
"Pullman",2015-08-05,2208.2893,42,52.5783166666667,0.261904761904762,0,0.595238095238095,0.142857142857143
"Pullman",2015-08-06,1851.6098,42,44.0859476190476,0.0952380952380952,0,0.785714285714286,0.119047619047619
"Pullman",2015-08-07,2565.9963,58,44.2413155172414,0.155172413793103,0,0.672413793103448,0.155172413793103
"Pullman",2015-08-08,2498.8115,58,43.0829568965517,0.0689655172413793,0,0.620689655172414,0.293103448275862
"Pullman",2015-08-09,1313.7067,37,35.5055864864865,0.0810810810810811,0,0.72972972972973,0.189189189189189
"Pullman",2015-08-10,1320.3649,29,45.529824137931,0.206896551724138,0,0.620689655172414,0.172413793103448
"Pullman",2015-08-11,2163.8739,54,40.0717388888889,0.259259259259259,0,0.611111111111111,0.12962962962963
"Pullman",2015-08-12,2900.2763,63,46.0361317460317,0.222222222222222,0,0.587301587301587,0.19047619047619
"Pullman",2015-08-13,2981.7091,59,50.5374423728814,0.372881355932203,0,0.525423728813559,0.101694915254237
"Pullman",2015-08-14,3325.9216,64,51.967525,0.234375,0,0.578125,0.15625
"Pullman",2015-08-15,2573.2025,54,47.6518981481482,0.148148148148148,0,0.759259259259259,0.0925925925925926
"Pullman",2015-08-16,1471.2019,42,35.0286166666667,0.0476190476190476,0,0.928571428571429,0.0238095238095238
"Pullman",2015-08-17,2659.307,49,54.2715714285714,0.244897959183673,0,0.612244897959184,0.102040816326531
"Pullman",2015-08-18,2595.2184,63,41.1939428571429,0.238095238095238,0,0.746031746031746,0
"Pullman",2015-08-19,2148.6258,46,46.7092565217391,0.195652173913043,0,0.782608695652174,0
"Pullman",2015-08-20,3188.4695,75,42.5129266666667,0.12,0,0.853333333333333,0.0266666666666667
"Pullman",2015-08-21,4986.6356,92,54.2025608695652,0.293478260869565,0,0.630434782608696,0.0434782608695652
"Pullman",2015-08-22,3802.3665,83,45.8116445783133,0.156626506024096,0,0.759036144578313,0.072289156626506
"Pullman",2015-08-23,2451.9164,54,45.4058592592593,0.111111111111111,0,0.666666666666667,0.203703703703704
"Pullman",2015-08-24,2416.4608,52,46.4704,0.230769230769231,0,0.634615384615385,0.134615384615385
"Pullman",2015-08-25,2764.6052,57,48.5018456140351,0.298245614035088,0,0.614035087719298,0.0701754385964912
"Pullman",2015-08-26,3391.3665,74,45.829277027027,0.135135135135135,0,0.810810810810811,0.027027027027027
"Pullman",2015-08-27,2976.6127,70,42.5230385714286,0.114285714285714,0,0.842857142857143,0.0428571428571429
"Pullman",2015-08-28,4203.6806,79,53.211146835443,0.253164556962025,0,0.607594936708861,0.126582278481013
