"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.usable","perc.edible","perc.extracts"
"noncollege-nonurban",2016-01-15,570710.0927,20827,27.4024147836942,0.774907571901858,0.0879147260767273,0.120324578671916
"noncollege-nonurban",2016-01-16,585545.809,22949,25.5150903743082,0.764303455488257,0.0903307333652883,0.123621944311299
"noncollege-nonurban",2016-01-17,407035.7406,16183,25.1520571340295,0.76203423345486,0.0942346907248347,0.122783167521473
"noncollege-nonurban",2016-01-18,355674.6324,13792,25.7884739269142,0.783787703016241,0.0830191415313225,0.114994199535963
"noncollege-nonurban",2016-01-19,405886.7079,16009,25.3536578112312,0.797363982759698,0.0685239552751577,0.117059154225748
"noncollege-nonurban",2016-01-20,518335.3215,16901,30.6689143541802,0.78675817998935,0.0740784568960417,0.121057925566535
"noncollege-nonurban",2016-01-21,503986.3388,17042,29.5731920431874,0.785999295857294,0.0752845910104448,0.123635723506631
"noncollege-nonurban",2016-01-22,542931.9179,20506,26.4767345118502,0.776845801228909,0.0783673071296206,0.125280405734907
"noncollege-nonurban",2016-01-23,597885.5908,22866,26.1473624945334,0.763754045307443,0.0906586197848334,0.122365083530132
"noncollege-nonurban",2016-01-24,437986.7806,17751,24.6739215030139,0.76756239085122,0.0888964002028055,0.119204551856233
"noncollege-nonurban",2016-01-25,360726.3704,14063,25.6507409798763,0.785820948588495,0.0730285145417052,0.11818246462348
"noncollege-nonurban",2016-01-26,418261.4384,16436,25.4478850328547,0.785227549282064,0.0706984667802385,0.122292528595765
"noncollege-nonurban",2016-01-27,424241.8994,16776,25.2886206127802,0.782904148783977,0.0761802575107296,0.11772770624702
"noncollege-nonurban",2016-01-28,436576.9273,17169,25.4282094064884,0.786359135651465,0.0731551051313414,0.115790086784321
"noncollege-nonurban",2016-01-29,782054.5949,22359,34.9771722751465,0.773737644796279,0.0787155060601995,0.126928753522072
"noncollege-nonurban",2016-01-30,750994.1056,25198,29.8037187713311,0.75375029764267,0.0934201127073577,0.131637431542186
"noncollege-nonurban",2016-01-31,437163.7394,17914,24.4034687618622,0.766160544825276,0.0903762420453277,0.120966841576421
"noncollege-nonurban",2016-02-01,442638.1909,17062,25.9429252666745,0.776345094361739,0.0745516352127535,0.124604384011253
"noncollege-nonurban",2016-02-02,461416.8905,18138,25.4392375399713,0.786746057999779,0.0729959201676039,0.120244789943764
"noncollege-nonurban",2016-02-03,505205.8032,19194,26.321027571116,0.777482546629155,0.0729394602479942,0.125924768156716
"noncollege-nonurban",2016-02-04,479340.6827,18406,26.0426318972074,0.76632619797892,0.0768771052917527,0.13213082690427
"noncollege-nonurban",2016-02-05,625025.2497,23224,26.9129025878402,0.760032724767482,0.082716155700999,0.132233895969687
"noncollege-nonurban",2016-02-06,688816.0117,26572,25.9226257601987,0.747139846454915,0.0955517085654072,0.129045611922324
"noncollege-nonurban",2016-02-07,523318.8335,21279,24.5932061422059,0.751680060153203,0.0918276234785469,0.125757789369801
"noncollege-nonurban",2016-02-08,361291.3995,14072,25.6744883101194,0.767410460488914,0.0816515065378056,0.124005116543491
"noncollege-nonurban",2016-02-09,455585.4444,18013,25.2920359962249,0.7752734136457,0.0693943263198801,0.124521179148393
"noncollege-nonurban",2016-02-10,614380.9388,20729,29.6387157508804,0.760142795117951,0.0764629263350861,0.137150851464132
"noncollege-nonurban",2016-02-11,564386.0083,21442,26.3215189021547,0.75272829027143,0.086792276839847,0.135248577558064
"noncollege-nonurban",2016-02-12,685739.0054,24402,28.1017541758872,0.751085976559298,0.0905253667732153,0.132161298254241
"noncollege-nonurban",2016-02-13,725944.2995,27806,26.1074695928936,0.732287995396677,0.106919369920161,0.136553261885924
"noncollege-nonurban",2016-02-14,536041.6399,22084,24.2728509282739,0.734513675058866,0.104011954356095,0.12864517297591
"noncollege-nonurban",2016-02-15,415571.6352,16733,24.8354530090241,0.753660431482699,0.0937070459570908,0.12818980457778
"noncollege-nonurban",2016-02-16,472125.9613,18585,25.4036029755179,0.770406241592682,0.07409200968523,0.132849071832123
