"towntype","saledate","tot_items","perc_cartridge","perc_oil","perc_hash_kief","perc_wax_shatter_resin","perc_uncategorized"
"Airway Heights",2015-08-24,19,0.105263157894737,0,0,0.210526315789474,0.684210526315789
"Airway Heights",2015-08-25,23,0.173913043478261,0,0,0.217391304347826,0.608695652173913
"Airway Heights",2015-08-26,33,0.333333333333333,0,0,0.121212121212121,0.545454545454545
"Airway Heights",2015-08-27,19,0.105263157894737,0,0,0.315789473684211,0.578947368421053
"Airway Heights",2015-08-28,23,0.130434782608696,0,0,0.478260869565217,0.391304347826087
"Airway Heights",2015-08-29,43,0.209302325581395,0,0,0.348837209302326,0.441860465116279
"Airway Heights",2015-08-30,29,0.172413793103448,0,0,0.448275862068966,0.379310344827586
"Airway Heights",2015-08-31,16,0.3125,0,0,0.3125,0.375
"Airway Heights",2015-09-01,45,0.244444444444444,0,0,0.355555555555556,0.4
"Airway Heights",2015-09-02,8,0,0,0,0.25,0.75
"Airway Heights",2015-09-03,27,0.185185185185185,0,0,0.333333333333333,0.481481481481481
"Airway Heights",2015-09-04,38,0.210526315789474,0,0,0.236842105263158,0.552631578947368
"Airway Heights",2015-09-05,53,0.30188679245283,0,0,0.377358490566038,0.320754716981132
"Airway Heights",2015-09-06,39,0.0512820512820513,0,0,0.743589743589744,0.205128205128205
"Airway Heights",2015-09-07,24,0.25,0,0,0.5,0.25
"Airway Heights",2015-09-08,26,0.153846153846154,0,0,0.576923076923077,0.269230769230769
"Airway Heights",2015-09-09,28,0.214285714285714,0,0,0.678571428571429,0.107142857142857
"Airway Heights",2015-09-10,29,0.137931034482759,0,0,0.724137931034483,0.137931034482759
"Airway Heights",2015-09-11,32,0.28125,0,0,0.65625,0.0625
"Airway Heights",2015-09-12,43,0.116279069767442,0,0,0.720930232558139,0.162790697674419
"Airway Heights",2015-09-13,16,0.0625,0,0,0.6875,0.25
"Airway Heights",2015-09-14,14,0.214285714285714,0,0,0.785714285714286,0
"Airway Heights",2015-09-15,27,0.222222222222222,0,0,0.62962962962963,0.148148148148148
"Airway Heights",2015-09-16,27,0.407407407407407,0,0,0.444444444444444,0.148148148148148
"Airway Heights",2015-09-17,20,0.2,0,0,0.6,0.2
"Airway Heights",2015-09-18,30,0.233333333333333,0,0,0.6,0.166666666666667
"Airway Heights",2015-09-19,46,0.347826086956522,0,0.0652173913043478,0.5,0.0869565217391304
"Airway Heights",2015-09-20,25,0.28,0,0.04,0.6,0.08
"Airway Heights",2015-09-21,21,0.285714285714286,0,0.0476190476190476,0.619047619047619,0.0476190476190476
"Airway Heights",2015-09-22,38,0.157894736842105,0,0.0526315789473684,0.736842105263158,0.0526315789473684
"Airway Heights",2015-09-23,27,0.37037037037037,0,0.037037037037037,0.555555555555556,0.037037037037037
"Airway Heights",2015-09-24,27,0.333333333333333,0,0.0740740740740741,0.592592592592593,0
