"towntype","saledate","revenue","tot_items","avg_price_peritem","perc_usable","perc_extract","perc_edible","perc_other"
"NCNU",2015-11-17,626588.69233,25407,24.662049526902,0.815601999448971,0.102924390915889,0.0638406738300468,0.0176329358050931
"Pullman",2015-11-17,18423.3627,629,29.2899248012719,0.739268680445151,0.104928457869634,0.0890302066772655,0.0667726550079491
"Ellensburg",2015-11-17,13703.6168,554,24.7357703971119,0.756317689530686,0.137184115523466,0.0884476534296029,0.0180505415162455
"Airway Heights",2015-11-17,5416.9663,239,22.6651309623431,0.832635983263598,0.096234309623431,0.0711297071129707,0
"Urban",2015-11-18,638696.208577,26201,24.3767874728827,0.767489790466013,0.11644593717797,0.09312621655662,0.022938055799397
"NCNU",2015-11-18,640494.62662,24274,26.3860355367883,0.802834308313422,0.107151684930378,0.0705281371014254,0.0194858696547747
"Pullman",2015-11-18,16337.7706,547,29.8679535648995,0.73308957952468,0.106032906764168,0.0840950639853748,0.076782449725777
"Ellensburg",2015-11-18,11727.8028,506,23.1774758893281,0.798418972332016,0.110671936758893,0.0691699604743083,0.0217391304347826
"Airway Heights",2015-11-18,860.0038,36,23.8889944444444,0.861111111111111,0.111111111111111,0.0277777777777778,0
"Urban",2015-11-19,753472.411625,29906,25.1946904174748,0.763525713903564,0.117401190396576,0.0909850866046947,0.0280880090951648
"NCNU",2015-11-19,719916.4365,27632,26.053721645194,0.797698320787493,0.105674580196873,0.0735017371163868,0.0231253618992473
"Pullman",2015-11-19,19044.9043,636,29.944818081761,0.731132075471698,0.110062893081761,0.0770440251572327,0.0817610062893082
"Ellensburg",2015-11-19,12027.2985,492,24.4457286585366,0.794715447154472,0.123983739837398,0.0609756097560976,0.0203252032520325
"Airway Heights",2015-11-19,4699.1822,150,31.3278813333333,0.813333333333333,0.12,0.0666666666666667,0
"Urban",2015-11-20,984763.971482,37551,26.2247069713723,0.755665628079146,0.117227237623499,0.10138212031637,0.0257250139809859
"NCNU",2015-11-20,860142.34673,31736,27.1030484853164,0.785385681875473,0.113026216284346,0.0795941517519536,0.0219939500882279
"Pullman",2015-11-20,26305.0412,844,31.1671104265403,0.731042654028436,0.104265402843602,0.111374407582938,0.0533175355450237
"Ellensburg",2015-11-20,15643.3724,628,24.9098286624204,0.719745222929936,0.162420382165605,0.10828025477707,0.00955414012738853
"Airway Heights",2015-11-20,9515.746,354,26.8806384180791,0.858757062146893,0.0790960451977401,0.0621468926553672,0
"Urban",2015-11-21,1107209.331232,43411,25.5052712729953,0.730483057289627,0.124392435097095,0.118748704245468,0.02637580336781
