"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.cart","perc.oil","perc.hash_kief","perc.wax_shatter_resin","perc.uncategorized"
"Ellensburg",2016-01-25,2169.121,73,29.7139863013699,0.0821917808219178,0.0958904109589041,0.0684931506849315,0.616438356164384,0.136986301369863
"Ellensburg",2016-01-26,2506.8397,79,31.7321481012658,0.113924050632911,0.126582278481013,0.0506329113924051,0.518987341772152,0.189873417721519
"Ellensburg",2016-01-27,2171.0116,67,32.4031582089552,0.0895522388059701,0.0895522388059701,0.0298507462686567,0.611940298507463,0.17910447761194
"Ellensburg",2016-01-28,1866.9812,62,30.1126,0.0967741935483871,0.0483870967741935,0.0645161290322581,0.596774193548387,0.193548387096774
"Ellensburg",2016-01-29,3753.7726,110,34.1252054545455,0.172727272727273,0.163636363636364,0.0454545454545455,0.545454545454545,0.0727272727272727
"Ellensburg",2016-01-30,3586.8244,111,32.3137333333333,0.162162162162162,0.144144144144144,0.0540540540540541,0.486486486486487,0.153153153153153
"Ellensburg",2016-01-31,2330.4111,70,33.2915871428571,0.128571428571429,0.128571428571429,0.0428571428571429,0.557142857142857,0.142857142857143
"Ellensburg",2016-02-01,2643.7164,80,33.046455,0.0875,0.1375,0.0375,0.6375,0.1
"Ellensburg",2016-02-02,2695.612,80,33.69515,0.2125,0.225,0.075,0.425,0.0625
"Ellensburg",2016-02-03,2748.5762,90,30.5397355555556,0.133333333333333,0.1,0.0333333333333333,0.655555555555556,0.0777777777777778
"Ellensburg",2016-02-04,2751.8368,93,29.5896430107527,0.118279569892473,0.204301075268817,0.0752688172043011,0.387096774193548,0.21505376344086
"Ellensburg",2016-02-05,3328.9219,107,31.1114196261682,0.224299065420561,0.11214953271028,0.0560747663551402,0.504672897196262,0.102803738317757
"Ellensburg",2016-02-06,2765.1943,96,28.8041072916667,0.104166666666667,0.09375,0.09375,0.614583333333333,0.09375
"Ellensburg",2016-02-07,2801.513,88,31.835375,0.136363636363636,0.147727272727273,0.0568181818181818,0.511363636363636,0.147727272727273
"Ellensburg",2016-02-08,2148.5984,67,32.0686328358209,0.104477611940299,0.298507462686567,0.0298507462686567,0.567164179104478,0
"Ellensburg",2016-02-09,2301.6548,75,30.6887306666667,0.133333333333333,0.226666666666667,0.0266666666666667,0.48,0.133333333333333
"Ellensburg",2016-02-10,2881.6991,93,30.986011827957,0.10752688172043,0.204301075268817,0.0645161290322581,0.505376344086022,0.118279569892473
"Ellensburg",2016-02-11,3268.9844,104,31.4325423076923,0.153846153846154,0.173076923076923,0.0288461538461538,0.442307692307692,0.201923076923077
"Ellensburg",2016-02-12,3599.3873,104,34.6094932692308,0.201923076923077,0.153846153846154,0.0769230769230769,0.471153846153846,0.0961538461538462
"Ellensburg",2016-02-13,4275.77,135,31.6723703703704,0.148148148148148,0.185185185185185,0.0666666666666667,0.422222222222222,0.177777777777778
"Ellensburg",2016-02-14,3629.5547,111,32.698690990991,0.0810810810810811,0.27027027027027,0.036036036036036,0.486486486486487,0.126126126126126
"Ellensburg",2016-02-15,2298.8052,71,32.377538028169,0.0422535211267606,0.211267605633803,0.0140845070422535,0.591549295774648,0.140845070422535
"Ellensburg",2016-02-16,2272.9807,70,32.4711528571429,0.185714285714286,0.157142857142857,0.0142857142857143,0.471428571428571,0.171428571428571
"Ellensburg",2016-02-17,3209.6086,96,33.4334229166667,0.135416666666667,0.270833333333333,0.0104166666666667,0.5,0.0833333333333333
"Ellensburg",2016-02-18,3154.8634,94,33.5623765957447,0.170212765957447,0.180851063829787,0.0212765957446809,0.457446808510638,0.170212765957447
"Ellensburg",2016-02-19,3107.4751,100,31.074751,0.16,0.21,0.06,0.47,0.1
"Ellensburg",2016-02-20,3684.8068,110,33.4982436363636,0.127272727272727,0.2,0.0545454545454545,0.527272727272727,0.0909090909090909
"Ellensburg",2016-02-21,2914.8531,87,33.5040586206897,0.172413793103448,0.229885057471264,0.0344827586206897,0.505747126436782,0.0574712643678161
"Ellensburg",2016-02-22,2524.7593,80,31.55949125,0.2125,0.1625,0.025,0.5125,0.0875
"Ellensburg",2016-02-23,3347.5539,93,35.9952032258065,0.172043010752688,0.290322580645161,0.021505376344086,0.43010752688172,0.0860215053763441
"Ellensburg",2016-02-24,2253.2527,65,34.6654261538462,0.107692307692308,0.246153846153846,0.0153846153846154,0.569230769230769,0.0615384615384615
"Ellensburg",2016-02-25,3320.3046,103,32.2359669902913,0.155339805825243,0.223300970873786,0.087378640776699,0.427184466019417,0.106796116504854
"Ellensburg",2016-02-26,3441.8236,96,35.8523291666667,0.166666666666667,0.302083333333333,0.0520833333333333,0.354166666666667,0.125
"Ellensburg",2016-02-27,3196.0867,91,35.1218318681319,0.208791208791209,0.252747252747253,0.043956043956044,0.362637362637363,0.131868131868132
"Ellensburg",2016-02-28,2586.4915,78,33.1601474358974,0.256410256410256,0.282051282051282,0.0256410256410256,0.333333333333333,0.102564102564103
"Ellensburg",2016-02-29,3286.8903,89,36.9313516853933,0.134831460674157,0.382022471910112,0.0337078651685393,0.382022471910112,0.0674157303370786
"Ellensburg",2016-03-01,3055.8946,86,35.5336581395349,0.174418604651163,0.313953488372093,0.0697674418604651,0.325581395348837,0.116279069767442
"Ellensburg",2016-03-02,3577.3988,101,35.4197900990099,0.207920792079208,0.247524752475248,0.0396039603960396,0.386138613861386,0.118811881188119
"Ellensburg",2016-03-03,2584.094,73,35.3985479452055,0.136986301369863,0.246575342465753,0.0273972602739726,0.397260273972603,0.191780821917808
"Ellensburg",2016-03-04,4485.5718,137,32.7414,0.116788321167883,0.167883211678832,0.0437956204379562,0.284671532846715,0.386861313868613
"Ellensburg",2016-03-05,3527.8322,108,32.665112962963,0.185185185185185,0.203703703703704,0.0277777777777778,0.25,0.333333333333333
"Ellensburg",2016-03-06,2631.0028,81,32.4815160493827,0.0864197530864197,0.259259259259259,0.0617283950617284,0.234567901234568,0.358024691358025
"Ellensburg",2016-03-07,2686.5563,85,31.6065447058824,0.141176470588235,0.176470588235294,0.0117647058823529,0.270588235294118,0.4
"Ellensburg",2016-03-08,3180.8249,94,33.8385627659575,0.202127659574468,0.117021276595745,0.0106382978723404,0.223404255319149,0.446808510638298
"Ellensburg",2016-03-09,3712.2068,103,36.0408427184466,0.320388349514563,0.145631067961165,0.0388349514563107,0.155339805825243,0.339805825242718
"Ellensburg",2016-03-10,2758.3032,84,32.8369428571429,0.166666666666667,0.107142857142857,0.0238095238095238,0.19047619047619,0.511904761904762
"Ellensburg",2016-03-11,3822.8754,108,35.3969944444444,0.166666666666667,0.166666666666667,0.00925925925925926,0.268518518518519,0.388888888888889
"Ellensburg",2016-03-12,3560.9725,103,34.5725485436893,0.203883495145631,0.135922330097087,0.029126213592233,0.194174757281553,0.436893203883495
"Ellensburg",2016-03-13,2467.6166,76,32.4686394736842,0.171052631578947,0.197368421052632,0.0657894736842105,0.197368421052632,0.368421052631579
"Ellensburg",2016-03-14,2803.9105,79,35.4925379746836,0.265822784810127,0.126582278481013,0,0.30379746835443,0.30379746835443
"Ellensburg",2016-03-15,2550.5153,79,32.2850037974684,0.113924050632911,0.10126582278481,0.0379746835443038,0.30379746835443,0.443037974683544
"Ellensburg",2016-03-16,3040.0711,90,33.7785677777778,0.233333333333333,0.222222222222222,0.0444444444444444,0.233333333333333,0.266666666666667
"Ellensburg",2016-03-17,2779.4149,85,32.6989988235294,0.164705882352941,0.141176470588235,0.0352941176470588,0.317647058823529,0.341176470588235
"Ellensburg",2016-03-18,3290.0413,98,33.57185,0.214285714285714,0.13265306122449,0.0204081632653061,0.224489795918367,0.408163265306122
"Ellensburg",2016-03-19,5355.2067,131,40.8794404580153,0.229007633587786,0.206106870229008,0.0305343511450382,0.198473282442748,0.33587786259542
"Ellensburg",2016-03-20,2455.7935,75,32.7439133333333,0.173333333333333,0.186666666666667,0.0133333333333333,0.12,0.506666666666667
"Ellensburg",2016-03-21,1775.7118,65,27.3186430769231,0.123076923076923,0.153846153846154,0.0153846153846154,0.338461538461538,0.369230769230769
"Ellensburg",2016-03-22,3662.0237,107,34.2245205607477,0.289719626168224,0.11214953271028,0.0280373831775701,0.186915887850467,0.383177570093458
"Ellensburg",2016-03-23,2958.6657,85,34.8078317647059,0.282352941176471,0.105882352941176,0.0352941176470588,0.270588235294118,0.305882352941176
"Ellensburg",2016-03-24,3178.3315,93,34.1756075268817,0.247311827956989,0.172043010752688,0.021505376344086,0.225806451612903,0.333333333333333
"Ellensburg",2016-03-25,3582.3856,107,33.4802392523365,0.271028037383178,0.0934579439252336,0.0186915887850467,0.271028037383178,0.345794392523364
"Ellensburg",2016-03-26,3547.5876,113,31.3945805309735,0.256637168141593,0.0884955752212389,0.0176991150442478,0.327433628318584,0.309734513274336
"Ellensburg",2016-03-27,2872.5886,78,36.828058974359,0.217948717948718,0.179487179487179,0.0128205128205128,0.230769230769231,0.358974358974359
"Ellensburg",2016-03-28,2136.789,74,28.875527027027,0.216216216216216,0.108108108108108,0.0135135135135135,0.297297297297297,0.364864864864865
"Ellensburg",2016-03-29,3252.4896,98,33.1886693877551,0.122448979591837,0.153061224489796,0.0204081632653061,0.285714285714286,0.418367346938776
"Ellensburg",2016-03-30,2244.8683,73,30.7516205479452,0.150684931506849,0.178082191780822,0.0273972602739726,0.328767123287671,0.315068493150685
"Ellensburg",2016-03-31,2915.7984,87,33.514924137931,0.149425287356322,0.114942528735632,0.0229885057471264,0.28735632183908,0.425287356321839
"Ellensburg",2016-04-01,4569.4843,131,34.8815595419847,0.244274809160305,0.16793893129771,0.0534351145038168,0.16030534351145,0.374045801526718
"Ellensburg",2016-04-02,4018.3333,118,34.0536720338983,0.177966101694915,0.322033898305085,0.0254237288135593,0.135593220338983,0.338983050847458
"Ellensburg",2016-04-03,3206.5124,104,30.83185,0.240384615384615,0.278846153846154,0.0384615384615385,0.221153846153846,0.221153846153846
"Ellensburg",2016-04-04,2531.9244,84,30.1419571428571,0.19047619047619,0.25,0.0357142857142857,0.25,0.273809523809524
"Ellensburg",2016-04-05,3799.9553,111,34.2338315315315,0.162162162162162,0.351351351351351,0.00900900900900901,0.216216216216216,0.261261261261261
"Ellensburg",2016-04-06,2798.8415,80,34.98551875,0.2875,0.2625,0.025,0.2125,0.2125
"Ellensburg",2016-04-07,4054.1588,119,34.0685613445378,0.352941176470588,0.277310924369748,0,0.134453781512605,0.235294117647059
"Ellensburg",2016-04-08,4209.9552,120,35.08296,0.233333333333333,0.216666666666667,0.0333333333333333,0.191666666666667,0.325
"Ellensburg",2016-04-09,3424.4657,115,29.7779626086957,0.191304347826087,0.321739130434783,0.0173913043478261,0.173913043478261,0.295652173913043
"Ellensburg",2016-04-10,2373.8949,78,30.43455,0.205128205128205,0.179487179487179,0.0256410256410256,0.0897435897435897,0.5
"Ellensburg",2016-04-11,2491.3313,73,34.1278260273973,0.191780821917808,0.205479452054795,0.0136986301369863,0.164383561643836,0.424657534246575
"Ellensburg",2016-04-12,3573.0285,109,32.7800779816514,0.256880733944954,0.238532110091743,0.018348623853211,0.18348623853211,0.302752293577982
"Ellensburg",2016-04-13,3036.9201,84,36.1538107142857,0.226190476190476,0.178571428571429,0.0119047619047619,0.19047619047619,0.392857142857143
"Ellensburg",2016-04-14,2597.1501,82,31.672562195122,0.231707317073171,0.317073170731707,0.0121951219512195,0.0975609756097561,0.341463414634146
"Ellensburg",2016-04-15,3290.4797,105,31.3379019047619,0.142857142857143,0.361904761904762,0,0.19047619047619,0.304761904761905
"Ellensburg",2016-04-16,3741.9495,115,32.5386913043478,0.217391304347826,0.139130434782609,0.00869565217391304,0.269565217391304,0.365217391304348
"Ellensburg",2016-04-17,2716.3401,85,31.9569423529412,0.223529411764706,0.164705882352941,0.0352941176470588,0.211764705882353,0.364705882352941
"Ellensburg",2016-04-18,3669.0929,115,31.9051556521739,0.28695652173913,0.0434782608695652,0.00869565217391304,0.2,0.460869565217391
"Ellensburg",2016-04-19,3957.8615,129,30.6810968992248,0.201550387596899,0.0697674418604651,0,0.186046511627907,0.542635658914729
"Ellensburg",2016-04-20,4666.1378,193,24.1768797927461,0.113989637305699,0.0880829015544041,0.0103626943005181,0.134715025906736,0.652849740932642
"Ellensburg",2016-04-21,3591.2358,123,29.1970390243902,0.186991869918699,0.154471544715447,0.00813008130081301,0.178861788617886,0.471544715447154
"Ellensburg",2016-04-22,4043.3221,126,32.0898579365079,0.206349206349206,0.150793650793651,0.0158730158730159,0.174603174603175,0.452380952380952
"Ellensburg",2016-04-23,4573.1285,127,36.0088858267717,0.196850393700787,0.149606299212598,0,0.204724409448819,0.448818897637795
